Year,Month,Month_Label,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
2025,6,2025-06,154.05141628743073,117.30358417197317,89.93898977197635,1009.5448835313302,263.9162116407851,16.857987655011435,161.30526134623062,64.69284290912637
2025,7,2025-07,159.35541663750683,119.8050712990003,92.69007046681351,1041.631611661815,276.51861996878586,17.78729187896076,164.19617313300196,66.82471749924177
2025,8,2025-08,161.160720198602,121.57504357049764,92.66594271353785,1053.9883560059816,272.3673346258182,17.545771107690364,164.04236620268577,66.89516638432454
2025,9,2025-09,154.42740494917587,116.31839876882657,89.71274055073864,1045.43477645133,267.20497480761645,17.238061580968047,162.711460083506,63.549228286743855
2025,10,2025-10,160.16815401822134,120.59533676391493,92.66594271353786,1088.8705384182028,276.35714676892826,17.80642600958847,209.28861578648485,58.20715858211043
2025,11,2025-11,156.7331760633406,119.22729714165828,89.67886053493244,1074.0962261744862,262.1663971200104,18.409339511465593,202.81819701747875,45.67725615555551
2025,12,2025-12,160.05420415875187,120.1178361927861,92.69982272934405,1145.0957835802242,275.4851818216046,19.52346712247687,228.35204939082107,46.78223709910869
2026,1,2026-01,158.7545588082242,129.17076990886056,113.77289401610567,1130.0481202476142,279.4843885138626,21.060129710861183,219.1179003087725,57.050301863876435
2026,2,2026-02,143.19893079358587,116.50306983690973,102.74449341605964,1007.1718201544122,250.18806190682744,16.80561238192884,194.57073504783827,52.967167994161926
2026,3,2026-03,159.01314061509387,123.86160715702088,95.44357033237672,1056.8970606358525,274.29725446144823,17.893891016496433,216.12696613870258,66.91980013043397
2026,4,2026-04,153.5135397413826,116.98578447446413,90.28899587905566,1003.2754960287938,268.3323334120826,17.215545542076935,202.79208136224526,64.68383426745393
2026,5,2026-05,159.89697236463152,121.57504357049764,93.30352548055032,1050.122587630603,272.8991392990098,17.529243915463752,169.71416675069784,66.984179575322
