Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2016-12-08,N05C,RandomForest,0.0,0.5880399376763115,Validation
2016-10-09,N05C,RandomForest,0.0,0.31597360626856585,Validation
2016-09-25,N05C,RandomForest,0.0,0.3297915573317648,Validation
2019-05-07,N05C,RandomForest,0.0,0.7420115781841813,Validation
2019-01-31,N05C,RandomForest,1.0,0.9843693309984226,Validation
2015-01-29,N05C,RandomForest,3.0,0.663034675657044,Validation
2016-02-17,N05C,RandomForest,1.0,0.5741249347606646,Validation
2015-03-22,N05C,RandomForest,0.0,0.3696341450038514,Validation
2016-04-03,N05C,RandomForest,0.0,0.31263822857925105,Validation
2017-12-30,N05C,RandomForest,0.0,0.5619398762423791,Validation
2019-01-07,N05C,RandomForest,0.0,0.7461444153482626,Validation
2017-06-27,N05C,RandomForest,0.0,0.6307382987799497,Validation
2017-05-25,N05C,RandomForest,0.0,0.5282334378572151,Validation
2019-08-20,N05C,RandomForest,0.0,0.6776549138805302,Validation
2018-10-27,N05C,RandomForest,1.0,0.5247881461099657,Validation
2017-08-02,N05C,RandomForest,0.0,0.5448372797399731,Validation
2016-03-31,N05C,RandomForest,0.0,0.5533368902945711,Validation
2018-02-23,N05C,RandomForest,0.0,0.6075044488914887,Validation
2017-06-30,N05C,RandomForest,0.0,0.5465609970479421,Validation
2014-08-11,N05C,RandomForest,0.0,0.6043530738663844,Validation
2017-08-08,N05C,RandomForest,0.0,0.6361994079870682,Validation
2015-08-18,N05C,RandomForest,0.0,0.6243576070248664,Validation
2015-06-09,N05C,RandomForest,0.0,0.6834137621424278,Validation
2014-05-21,N05C,RandomForest,1.0,0.5590374276117824,Validation
2016-03-20,N05C,RandomForest,0.0,0.39021092372848876,Validation
2019-09-25,N05C,RandomForest,1.0,0.5750022212223407,Validation
2018-11-28,N05C,RandomForest,2.0,0.6114341646472972,Validation
2015-01-04,N05C,RandomForest,0.0,0.5111880779827814,Validation
2017-07-29,N05C,RandomForest,0.0,0.5118623849568925,Validation
2018-04-05,N05C,RandomForest,1.0,0.5710654653348382,Validation
2014-11-19,N05C,RandomForest,0.0,0.6170435389763619,Validation
